id	title	author	authorYearOfBirth	authorYearOfDeath	publishedYear	tokensCount
openBook73	Επόμενη στάση παρακαλώ, μυαλό…	Βασίλειος Κάππας			2019	872.0
openBook74	Ισορροπία στα σκαλιά του ουρανού	Βασίλειος Κάππας			2019	3503.0
openBook75	Τζακ ο αντεροβγάλτης – Οι περιπέτειες του Σέρλοκ Χολμς	Άρθουρ Κόναν Ντόυλ (Arthur Conan Doyle, 1859–1930)			2019	126.0
openBook76	Ένα τρυφερό ερωτικό ειδύλλιο του Γκυ Ντε Μωπασσάν				2019	379.0
openBook78	Η αρετή της Κεκίνας	Ματίλντε Σεράο (Matilde Serao, 1856-1927)			2013	11801.0
openBook79	Ή τον Τζοβανίνο ή το θάνατο	Ματίλντε Σεράο (Matilde Serao, 1856-1927)			2012	9141.0
openBook80	Ιταλικός και Ρωσικός Λογοτεχνικός Φουτουρισμός: Συγκλίσεις και αποκλίσεις	Χρίστος Αλεξανδρίδης			2011	16481.0
openBook81	Ένα μέτρο μακριά από το χρήμα	Βασίλειος Κάππας			2019	3621.0
openBook87	Φωλέα ευγενών	Ιβάν Τουργκένιεφ (Ivan Turgenev, 1818-1883)			2019	303.0
openBook88	Είμαι πάντα χαρούμενος όταν διαμαρτύρομαι – 70 αποφθέγματα	Richard Stallman			2019	2127.0
openBook89	40 ποιήματα και 3 πεζά	Τέλλος Άγρας (1899 – 1944)			2018	8291.0
openBook90	12/12/12				2012	8980.0
openBook91	Έξι διηγήματα	Γκυ ντε Μωπασάν (Guy de Maupassant, 1850-1893)			2009	10698.0
openBook92	Σύγχρονα Ιταλικά διηγήματα				2010	31458.0
openBook93	Οι νουβέλες της Πεσκάρας	Γκαμπριέλε Ντ’ Ανούντσιο (Gabriele D’Annunzio, 1863-1938)			2016	19566.0
openBook94	Μια ιστορία μαντείας	Λευκάδιος Χερν (Lafcadio Hearn, 1850-1904)			2012	1649.0
openBook95	Επιλογή από τα ποιήματα	Σάντρο Πένα (Sandro Penna)			2011	10522.0
openBook96	Η λυκοπαγίδα	Βαγγέλης Παπαδιόχος			2019	4322.0
openBook97	Τρία αιρετικά ποιήματα κι ένα ακόμη	Πιερ Πάολο Παζολίνι (Pier Paolo Pasolini)			2012	5865.0
openBook98	Κοιτάζοντας προς τα μέσα	Βασίλειος Κάππας			2019	3538.0
openBook99	Ο ήλιος της σκιάς μου	Βασίλειος Κάππας			2019	4622.0
openBook100	Μέλη με μέλι	Βασίλειος Κάππας			2019	6682.0
openBook101	Οι τριάκοντα	Αλέξανδρος Ρίζος Ραγκαβής (1809-1892)			1867	228.0
openBook102	Διονύσου πλους	Αλέξανδρος Ρίζος Ραγκαβής (1809-1892)			1864	28.0
openBook103	Λογοτεχνία του Facebook	Ευστράτιος Παπάνης			2013	27195.0
openBook104	Ο θαμπωμένος καθρέφτης του εαυτού μας	Ευστράτιος Παπάνης			2011	37664.0
openBook105	Η αυτοεκτίμηση – Θεωρία και αξιολόγηση	Ευστράτιος Παπάνης			2011	82862.0
openBook106	Αρμίνιος και Δωροθέα	Γιόχαν Βόλφγκανγκ Γκαίτε (Johann Wolfgang Goethe, 1749-1832)			1889	104.0
openBook107	Θεατρική βιβλιοθήκη, ήτοι, συλλογή των εκλεκτοτέρων τραγωδιών, δραμάτων και κωμωδιών				1882	149.0
openBook108	Ρόδα και μήλα	Γιάννης Ψυχάρης (1854-1929)			1902	332.0
openBook109	Η εκθρόνισις	Θεόδωρος Ι. Κολοκοτρώνης (1829-1894)			1862	177.0
openBook110	Όταν ήμουν αστυνομικός ρεπόρτερ	Ανδρέας Τσαμόπουλος			1925	104.0
openBook111	Ράβδοι πλαστελίνης	Ιωάννα Πιτσιλλή			2019	2908.0
openBook114	6 τρόποι να μοιραστείτε το έργο σας				2014	618.0
openBook117	Το λαμπρό αμάξι	Ζαχαρίας Παπαντωνίου (1877-1940)			2018	2540.0
openBook119	Η Λήδα στον κόσμο των γραμμάτων	Νικόλας Σμυρνάκης			2012	1.0
openBook120	Μήνυμα σε μπουκάλι				2018	4221.0
openBook121	Ματθίλδη: απομνημονεύματα νεανίδος ύπανδρου	Eugene Sue (1804-1857)			1846	712.0
openBook122	Φερνάνδος Δουπλέσιος ή Απομνημονεύματα ανδρός συζύγου	Eugene Sue (1804-1857)			1852	280.0
openBook123	Πάυλα Μόντη, ή, το μέγαρον Λαμπέρ	Eugene Sue (1804-1857)			1858	71.0
openBook124	Παρισίων απόκρυφα	Eugene Sue (1804-1857)			1883	180.0
openBook125	Ο περιπλανώμενος Ιουδαίος	Eugene Sue (1804-1857)			1861	4560.0
openBook126	Τα επτά θανάσιμα αμαρτήματα	Eugene Sue (1804-1857)			1851	228.0
openBook127	Τα απόκρυφα των Αθηνών και αι περιπέτειαι του Αγγλου περιηγητού Τζων Τζάκετ	Γεράσιμος Φερεντίνος			1889	126.0
openBook128	Ζωή κι αγάπη στη μοναξιά: ιστορικά ενός καινούργιου Ρομπινσώνα	Γιάννης Ψυχάρης (1854-1929)			1904	200.0
openBook129	Ο απροσδόκητος γάμος	Νικόλαος Ράμφος			1878	38.0
openBook130	Μια μπουνιά κι ένα φιλί	Βασίλειος Κάππας			2019	9948.0
openBook132	Ανοίγοντας παλιά συρτάρια	Βασίλειος Κάππας			2019	17271.0
openBook133	Η ενδυμασία του κλήρου	Πάνος Μιχελής			2019	1557.0
openBook134	Καρπούζια στο κατώι	Γ. Κατσάκος			2019	2298.0
openBook135	Το χωριό της ελπίδας	Ειρήνη Γεωργιάδου-Λειβαδά			2019	12012.0
openBook136	Αφιέρωμα στον Νίκο Καζαντζάκη				2017	14494.0
openBook137	Κείμενα Κυπριακής Λογοτεχνίας				2017	58883.0
openBook138	Μια παιδική εποχή – Αναπόληση του αγνού	Βασίλειος Κάππας			2019	5430.0
openBook140	HIV – Ένα τέλος αιματωμένο	Θανάσης Τριαρίδης			2018	10467.0
openBook141	Nastasya – Ένας ευαγγελισμός	Θανάσης Τριαρίδης			2018	13185.0
openBook145	Τακτικές τεχνοπολιτικών μέσων – Διαδικασίες συγκρότησης κοινών τόπων: διατάξεις	Κωνσταντίνος Ντάφλος			2015	76086.0
openBook148	Δυο καρδιές που αγαπήθηκαν	Αλέξανδρος Δουμάς (πατέρας) [Alexandre Dumas, 1802-1870]			2019	581.0
openBook149	Αντόν Τσέχωφ // 39 διηγήματα	Anton Chekhov (1860-1904)			2017	574.0
openBook151	Surriento – Ο κόσμος ξανά	Θανάσης Τριαρίδης			2019	14016.0
openBook152	Λεύκωμα γελοιογραφικόν	Θέμος Άννινος (1845-1916)			1874	90.0
openBook153	Ο άνθρωπος που σκότωσε τον εαυτό του	Έντγκαρ Άλλαν Πόε (Edgar Allan Poe, 1809–1849)			2019	1949.0
openBook154	Η λοκαντιέρα	Κάρλο Γκολντόνι (Carlo Goldoni, 1707-1793)			1903	0.0
openBook155	Η εξαφάνισις του Ονορίου Σουμπράκ	Γκιγιώμ Απολλιναίρ (Guillaume Apollinaire, 1880 – 1918)			2019	356.0
openBook156	Momotaro – Ταξίδι στο Νησί των Γιγάντων				2019	298.0
openBook157	Ambos mundos (Οι δύο κόσμοι)	Κατερίνα Καζολέα			2019	7086.0
openBook158	Μπράνγουελ	Κατερίνα Καζολέα			2019	6520.0
openBook159	Für wen? (Για ποιόν;)	Κατερίνα Καζολέα			2018	7544.0
openBook160	Lemonade	Κατερίνα Καζολέα			2018	6124.0
openBook161	Σιμονέτα	Κατερίνα Καζολέα			2018	8115.0
openBook163	Απάνθισμα	Αλέξανδρος Παπαδιαμάντης (1851-1911)			2019	14202.0
openBook164	To Beast, οr Not Τo Beast – Ένας ΜεταΡινόκερος	Μάνος Κουνουγάκης			2019	6825.0
openBook165	Ο γελωτοποιός και άλλα δεκαέξι διηγήματα	Μαξίμ Γκόρκι (Maxim Gorky, 1868-1936)			2019	615.0
openBook166	Kindergrave	Μάνος Κουνουγάκης			2019	7611.0
openBook167	Manster	Μάνος Κουνουγάκης			2018	7503.0
openBook168	Mankind	Μάνος Κουνουγάκης			2018	7576.0
openBook169	The Guevara Show	Μάνος Κουνουγάκης			2018	7404.0
openBook171	Η παιδική ζωή του Ερρίκου Ίψεν	Ερρίκος Ίψεν (Henrik Ibsen, 1828-1906)			2019	122.0
openBook179	Ο Πάνος ο Κλάρας	Ζαχαρίας Παπαντωνίου (1877-1940)			2018	2337.0
openBook180	Άκου, το κέρας θλίβεται	Πωλ Βερλαίν (Paul Verlaine, 1844-1896)			2019	852.0
openBook181	Εγκαταλελειμμένη	Ονορέ Ντε Μπαλζάκ (Honore de Balzac, 1799-1850)			2019	350.0
openBook182	Το τάμα της Ανθούλας	Ναπολέων Λαπαθιώτης (1888-1944)			2019	285.0
openBook183	Το κορίτσι με τα κρυστάλινα φτερά				2019	2314.0
openBook184	Λογοτεχνία: Φάκελος υλικού – Δίκτυα κειμένων				2019	61013.0
openBook186	Κόμικς: Πως κατασκευάζονται	Πάνος Παχνέλης			2019	2034.0
openBook187	Ελ Τζο – Ο εκδικητής				1970	36.0
openBook188	Σημειώσεις από το υπόγειο	Άρθουρ Μπαντίνι			2015	8894.0
openBook189	Άνθρωπον Ζητώ – Αρχές της Κυνικής Φιλοσοφίας	Μαρία Σεφέρου			2019	23340.0
openBook190	Η μυστηριώδης Νήσος	Ιούλιος Βερν (Jules Verne, 1828-1905)			2019	33.0
openBook191	Η τελευταία ημέρα κατάδικου	Βίκτωρ Ουγκώ (Victor Hugo, 1802-1885)			1909	142.0
openBook192	Διηγήματα Θεσσαλικά	Χρήστος Χρηστοβασίλης (1868-1937)			1900	108.0
openBook193	Ελ Τζο – Το μυστηριώδες σύμβολο				2019	29.0
openBook195	Η Πάπισσα Ιωάννα	Εμμανουήλ Ροΐδης (1836-1904)			1866	376.0
openBook196	Θεία Κωμωδία	Δάντης Αλιγκέρι (Dante Alighieri, 1265-1321)			1881	0.0
openBook197	Πίστομα και άλλες ιστορίες	Κωνσταντίνος Θεοτόκης (1872 – 1923)			2019	10127.0
openBook198	Απανθίσματα				2018	4970.0
openBook199	Φόβος κανένας	Γιάννης Φαρσάρης			2015	11203.0
openBook200	16 αριθμοί και 24 γράμματα	Δημήτριος Γκόγκας			2019	1418.0
openBook201	Τα λόγια είναι εύκολα. Δείξε μου τον κώδικα. – 135 αποφθέγματα	Linus Torvalds			2019	3613.0
openBook202	Οι άδειες Creative Commons	Στέφανος Μοναστηρίδης			2008	1063.0
openBook210	Πώς να δημιουργήσουμε μια παγκόσμια και ευημερούσα οικονομία βασισμένη στα κοινά				2018	6354.0
openBook211	Παντρολογήματα	Νικολάι Γκόγκολ (Nikolai Gogol, 1809-1852)			2019	11704.0
openBook212	Περιοδεία της γης εις ογδοήκοντα ημέρας	Ιούλιος Βερν (Jules Verne, 1828-1905)			1885	0.0
openBook213	One man’s land	Γιάννης Αντάμης			2019	7350.0
openBook214	Καλαμιές στον άνεμο	Γκράτσια Ντελέντα (Grazia Deledda, 1871-1936)			2019	48299.0
openBook215	Μάκβεθ	Ουίλιαμ Σαίξπηρ (William Shakespeare, 1564-1616)			1896	208.0
openBook216	Αμλέτος	Ουίλιαμ Σαίξπηρ (William Shakespeare, 1564-1616)			1883	248.0
openBook217	Ιούλιος Καίσαρ	Ουίλιαμ Σαίξπηρ (William Shakespeare, 1564-1616)			1858	138.0
openBook218	Οι τελευταίες στιγμές ενός κατάδικου	Λέων Τολστόι (Leo Tolstoy, 1828-1910)			2019	1678.0
openBook219	Κοριολανός	Ουίλιαμ Σαίξπηρ (William Shakespeare, 1564-1616)			1883	104.0
openBook220	Αντώνιος και Κλεοπάτρα	Ουίλιαμ Σαίξπηρ (William Shakespeare, 1564-1616)			1882	96.0
openBook221	Ο σκύλος	Ιβάν Τουργκένιεφ (Ivan Turgenev, 1818-1883)			2019	331.0
openBook222	Παραμύθι για ένα παλικάρι που ξεκίνησε να μάθει τι θα πει φόβος				2019	2992.0
openBook223	Οθέλλος	Ουίλιαμ Σαίξπηρ (William Shakespeare, 1564-1616)			1885	140.0
openBook224	Ο έμπορος της Βενετίας	Ουίλιαμ Σαίξπηρ (William Shakespeare, 1564-1616)			1884	164.0
openBook225	Η καρδιά της βασιλοπούλας	Πηνελόπη Δέλτα (1874-1941)			2019	6868.0
openBook226	Ιστορία ενός σκύλου και μιας γάτας	Εμμανουήλ Ροΐδης (1836-1904)			2019	5605.0
openBook229	Αυτό το αιματωμένο πράγμα	Κωνσταντίνος Καβάφης (1863-1933)			2009	3684.0
openBook237	Αποφάσισα να σκοτώσω τον Ερμόλαο	Μάνος Κοντολέων			2015	11268.0
openBook241	Ο ναυαγός της Κύνθιας				1886	0.0
openBook242	Ο Σάνσελλωρ	Ιούλιος Βερν (Jules Verne, 1828-1905)			1892	0.0
openBook244	Γαβριήλ Λαμβέρτης	Αλέξανδρος Δουμάς (υιός) [Alexandre Dumas, 1824-1895]			1846	134.0
openBook245	Το πάθος του Κριστιάν ή φωνές από τη χαράδρα	Αύγουστος Κορτώ			2019	77817.0
openBook246	Άννα Καρένιν	Λέων Τολστόι (1828-1910)			1922	56657.0
openBook247	Κείμενα για τον CHE	Νικόλαος Μόττας			2012	7854.0
openBook248	Πασχαλινά διηγήματα	Αλέξανδρος Παπαδιαμάντης (1851-1911)			1912	108.0
openBook249	Η Μπάρα ή Η πιο μικρή ιστορία του κόσμου				2018	0.0
openBook250	Κλαύδιος πένης	Βίκτωρ Ουγκώ (Victor Hugo, 1802-1885)			1861	48.0
openBook251	O ζωγράφος	Γρηγόριος Παλαιολόγος (1794-1844)			1842	312.0
openBook252	Μνήμες	Ρούλα Τριανταφύλλου			2019	5903.0
openBook253	Χάσαμε έναν μέντορα, έναν γέρο σοφό	Aaron Swartz (1986-2013)			2019	2193.0
openBook254	Το Ημερολόγιο της Μυρτώς για το άσωτο έτος 2018				2019	317.0
openBook255	Βερενίκη	Έντγκαρ Άλλαν Πόε (Edgar Allan Poe, 1809–1849)			2018	2508.0
openBook256	In Absentia	Μικέλα Φερούση			2018	4616.0
openBook257	Η συνάντησις	Έντγκαρ Άλλαν Πόε (Edgar Allan Poe, 1809–1849)			2018	3351.0
openBook258	Οικειοθελώς	Πάνος Ζώης			2018	8731.0
openBook260	13 τρόποι να κοιτάξεις το διάβολο στα μάτια την ώρα του σεξ	Αντώνης Αντωνάκος			2019	1112.0
openBook271	Φάουστ	Γιόχαν Βόλφγκανγκ Γκαίτε (Johann Wolfgang Goethe, 1749-1832)			1924	0.0
openBook272	Οι Στίχοι του Καπετάνιου (επιλογή)	Πάμπλο Νερούδα (Pablo Neruda)			2014	1428.0
openBook274	Θρήνος για τον Ιγνάθιο Σάντσεθ Μεχίας	Φεδερίκο Γκαρθία Λόρκα (Federico García Lorca, 1898-1936)			2014	932.0
