id	title	author	authorYearOfBirth	authorYearOfDeath	publishedYear	tokensCount
PG38414	Ιστορία της Ελληνικής Επαναστάσεως, Τόμος Α	Trikoupes, Spyridon	1788	1873	1888	108558.0
PG38524	Ιστορία της Ελληνικής Επαναστάσεως, Τόμος Β	Trikoupes, Spyridon	1788	1873	1888	108417.0
PG38765	Ιστορία της Ελληνικής Επαναστάσεως, Τόμος Γ	Trikoupes, Spyridon	1788	1873	1888	110854.0
PG38800	Μαλβίνα: Ρωμαντικό Μυθιστόρημα του 18ου αιώνος	Cottin, Madame (Sophie)	1770	1807	1921	87089.0
PG38851	Η Μάγισσα	Prévost, Marcel	1862	1941	1921	10558.0
PG38915	Άννα Καρένιν	Tolstoy, Leo, graf	1828	1910	1922	91975.0
PG39007	Μυστικό του Γάμου - Φάρσα της Ζωής	Kampyses, Giannes	1872	1901	1921	41922.0
PG39069	Ιστορία της Ελληνικής Επαναστάσεως, Τόμος Δ	Trikoupes, Spyridon	1788	1873	1888	118442.0
PG39073	Χοηφόροι	Aeschylus	-525	-456	-1	9927.0
PG39085	Ο Ψυχάρης και το έργο του	Phlores, Kostas	0	0	1916	8889.0
PG39208	Ευμενίδες	Aeschylus	-525	-456	1911	16847.0
PG39224	Ειρηνικά	Polemes, Ioannes	1862	1924	1893	4136.0
PG39251	Προμηθεύς Δεσμώτης	Aeschylus	-525	-456	1912	13464.0
PG39319	Ορέστης	Euripides	0	-406	-1	17686.0
PG39365	Η φιλοσοφία του Σωκράτους κατά A. Fouillée	Vrailas-Armenes, Petros	1812	1884	1910	40481.0
PG39382	Οιδίπους επί Κολωνώ	Sophocles	-496	-406	-1	22498.0
PG39409	Πέρσαι	Aeschylus	-525	-456	-1	15504.0
PG39460	Ο δεκαπενταετής πλοίαρχος	Verne, Jules	1828	1905	1917	131231.0
PG39462	Απολογία Σωκράτους	Plato	-428	-348	-1	23226.0
PG39476	Πολιτεία, Τόμος 1	Plato	-428	-348	1911	31791.0
PG39493	Πολιτεία, Τόμος 2	Plato	-428	-348	1911	45379.0
PG39524	Πολιτεία, Τόμος 3	Plato	-428	-348	1911	28300.0
PG39530	Πολιτεία, Τόμος 4	Plato	-428	-348	1911	38438.0
PG39536	Αγαμέμνων	Aeschylus	-525	-456	1911	14371.0
PG39600	Ελληνική Εποποιία, Ο Εωσφόρος: [Ιωάννης Τσιμισκής]	Papantoniou, Ch.	0	0	1917	21645.0
PG39601	Λυρικά αφιερώματα (Γιταντζάλι)	Tagore, Rabindranath	1861	1941	1921	16090.0
PG39633	Μενέξενоς	Plato	-428	-348	-1	9470.0
PG39764	Κύρου Ανάβασις Τόμος 1	Xenophon	-431	-355	1911	64921.0
PG39963	Αθηναίων Πολιτεία	Aristotle	-384	-322	-1	44721.0
PG40061	Κύρου Ανάβασις Τόμος 2	Xenophon	-431	-355	1911	55681.0
PG40098	Τα ανέκδοτα του Βασιλέως Γεωργίου Α		0	0	1915	19170.0
PG40123	Οι ευτράπελες ιστορίες του, Νασρ-εν-ντιν Χότζα		0	0	1921	41514.0
PG40139	Σύντομος αφήγησις του βίου του Ιωάννου Καποδιστρίου	Vrokines, Laurentios S.	1847	1910	1886	11727.0
PG40150	Η Ευρώπη κατά τον 19ον αιώνα	Karolides, Paulos	1849	1930	1900	18770.0
PG40296	Ο Σάνσελλορ	Verne, Jules	1828	1905	1892	62834.0
PG40329	Ο Γερμανικός Φιλελληνισμός	Karolides, Paulos	1849	1930	1917	18861.0
PG40478	Αττικαί ημέραι	Anninos, Bampes	1852	1934	1920	64594.0
PG41684	Εγχειρίδιον Βυζαντινής Ιστορίας	Karolides, Paulos	1849	1930	1906	129690.0
PG41868	Ιστορία του Ιωάννου Καποδιστρίου Κυβερνήτου της Ελλάδος	Euangelides, Tryphon E.	1863	1941	1894	147289.0
PG42031	Διονυσίου Σολωμού - Άπαντα τα Ευρισκόμενα	Solomos, Dionysios	1798	1857	1901	100531.0
PG42070	Πρωτοχρονιάτικα διηγήματα	Papadiamantes, Alexandros	1851	1911	1912	34297.0
PG42397	Ιστορία της Αρχαίας Ελληνικής Λογοτεχνίας	Murray, Gilbert	1866	1957	1922	160289.0
PG42454	Πλουτάρχου Βίοι Παράλληλοι - Τόμος 1: Θησεύς - Ρωμύλος - Λυκούργος - Νουμάς	Plutarch	46	119	1864	66396.0
PG42509	Ο Βελισάριος	Marmontel, Jean-François	1723	1799	1844	48614.0
PG42510	Ιστορία της Αλώσεως του Βυζαντίου υπό των Φράγκων και της αυτόθι εξουσίας αυτών	Stamatiades, Epameinondas I.	1835	1901	1865	76987.0
PG42511	Οι χαιρετισμοί της Ηλιογέννητης	Palamas, Kostes	1859	1943	1900	4135.0
PG42512	Θάνατος Παλληκαριού	Palamas, Kostes	1859	1943	1901	12096.0
PG42516	Ύμνος εις την Αθηνά	Palamas, Kostes	1859	1943	1889	6350.0
PG42598	Πλουτάρχου Βίοι Παράλληλοι - Τόμος 2: Σόλων - Ποπλικόλας - Θεμιστοκλής - Καμίλλος - Περικλής - Φάβιος Μάξιμος	Plutarch	46	119	1864	94339.0
PG42700	Πλουτάρχου Βίοι Παράλληλοι - Τόμος 3: Αλκιβιάδης - Κοριολάνος - Τιμολέων - Αιμίλιος Παύλος - Πελοπίδας - Μάρκελλος	Plutarch	46	119	1864	93302.0
PG42962	Παραμύθι χωρίς όνομα	Delta, Penelope Stephanou	1874	1941	1907	47187.0
PG57629	Lucian's Dialogues prepared for schools	Lucian, of Samosata	120	180	1909	45806.0
